zihai-004436	𦣞
zihai-004438	𠤴
zihai-004439	匣
zihai-004441	𠤵
zihai-004442	医
zihai-004443	𠤷
zihai-004447	𠥰
zihai-004506	𠥱
zihai-004507	匥
zihai-004508	⿷匚夹
zihai-004509	匦
zihai-004511	𧈟
zihai-004514	𠤸
zihai-004515	𠤺
zihai-004516	𠤹
zihai-004517	匼
zihai-004519	𠤻
zihai-004522	𠥂
zihai-004523	𠥀
zihai-004524	匧
zihai-004526	匽
zihai-004527	𠤾
zihai-004528	匩
zihai-004529	𠤽
zihai-004531	𠤼
zihai-004532	𠥁
zihai-004533	𠥃
zihai-004534	𠤿
zihai-004536	𠥇
zihai-004540	𠥴
zihai-004541	𠥍
zihai-004542	匨
zihai-004544	𠥊
zihai-004545	匿
zihai-004547	匪
zihai-004548	𠥓
zihai-004549	𠥶
zihai-004552	𠥉
zihai-004554	𠥌
zihai-004555	匫
zihai-004602	𠥋
zihai-004605	匭
zihai-004606	匮
zihai-004607	區
zihai-004610	匬
zihai-004614	匾
zihai-004615	𠥎
zihai-004616	𠥕
zihai-004617	𦣤
zihai-004619	𠥑
zihai-004621	𠥒
zihai-004622	𠥐
zihai-004626	𠥖
zihai-004628	𠥗
zihai-004629	匯
zihai-004631	𠥘
zihai-004634	匲
zihai-004635	匱
zihai-004636	匰
zihai-004638	𠥙
zihai-004639	𠥛
zihai-004641	𠥚
zihai-004642	𠥞
zihai-004643	𠥜
zihai-004644	𠥝
zihai-004646	匳
zihai-004702	𠥢
zihai-004703	匴
zihai-004706	𠥧
zihai-004707	匵
zihai-004708	𠥣
zihai-004710	𠥩
zihai-004714	匶
zihai-004715	𠥦
zihai-004717	匷
zihai-004718	𠥨
zihai-004720	𠥺
zihai-004721	⿷匚赣
zihai-004726	𠥬
zihai-004801	卜
zihai-004802	𠧒
zihai-004803	𠚩
zihai-004805	𠚬
zihai-004809	𣦵
zihai-004811	𠧓
zihai-004817	𠧛
zihai-004819	盀
zihai-004820	𠧚
zihai-004821	卣
zihai-004823	⿰卜鸟
zihai-004824	𠧙
zihai-004825	𠧝
zihai-004827	卦
zihai-004829	卥
zihai-004831	𠧠
zihai-004837	𠧞
zihai-004839	𠧨
zihai-004843	𠧰
zihai-004845	𠧪
zihai-004849	𫧯
zihai-004851	𠧲
zihai-004852	𠧩
zihai-004901	𤱈
zihai-004903	卨
zihai-004904	𠧼
zihai-004906	𠧳
zihai-004907	𠧹
zihai-004908	𠧷
zihai-004909	𠧴
zihai-004910	𠧸
zihai-004911	𥜽
zihai-004912	𨾇
zihai-004915	𣑅
zihai-004918	𠧻
zihai-004920	𠧿
zihai-004924	𠧽
zihai-004926	𠨄
zihai-004927	𠨁
zihai-004929	𠨃
zihai-004930	𠨂
zihai-004938	鳪
zihai-004939	𠨆
zihai-004941	𠨊
zihai-004942	𠨈
zihai-004944	⿰卓⿱上𣥂
zihai-004948	𠨋
zihai-005001	刂
zihai-005002	𠚧
zihai-005003	𠚥
zihai-005004	刈
zihai-005008	刋
zihai-005009	刉
zihai-005010	𠚭
zihai-005011	𠚵
zihai-005015	𠛉
zihai-005016	刑
zihai-005018	刓
zihai-005021	𠚷
zihai-005022	𠛅
zihai-005023	刚
zihai-005025	𠛃
zihai-005027	𠚻
zihai-005030	𠛄
zihai-005031	𠚼
zihai-005032	𠛀
zihai-005033	创
zihai-005034	刐
zihai-005036	𠛔
zihai-005037	刎
zihai-005038	𠚸
zihai-005040	𠛆
zihai-005043	刔
zihai-005044	𠛋
zihai-005045	𠚺
zihai-005046	𠛂
zihai-005047	𠚿
zihai-005048	𠛜
zihai-005050	𠛐
zihai-005051	刬
zihai-005052	𠛟
zihai-005054	刦
zihai-005055	𠛥
zihai-005057	𠛘
zihai-005101	𠛗
zihai-005102	𠛖
zihai-005104	𠛙
zihai-005105	刞
zihai-005106	刪
zihai-005107	别
zihai-005109	𠛰
zihai-005110	𠛕
zihai-005111	𠛢
zihai-005112	𠛦
zihai-005113	𠛛
zihai-005114	刢
zihai-005115	删
zihai-005116	𠛎
zihai-005117	⿰刍刂
zihai-005118	刨
zihai-005119	𠛓
zihai-005120	𠛑
zihai-005122	判
zihai-005123	𠛡
zihai-005124	刡
zihai-005125	刜
zihai-005127	刟
zihai-005128	刭
zihai-005129	刣
zihai-005130	𠛚
zihai-005131	𠛏
zihai-005132	𠛨
zihai-005133	刲
zihai-005137	刯
zihai-005140	刺
zihai-005142	刳
zihai-005145	刾
zihai-005146	𠜀
zihai-005147	𠜁
zihai-005148	𠛯
zihai-005151	𠜂
zihai-005152	𠛹
zihai-005201	𠛭
zihai-005202	𠛧
zihai-005203	刿
zihai-005204	剀
zihai-005205	制
zihai-005208	𠛮
zihai-005209	刽
zihai-005211	𠛶
